S.No,Station Name,Code,Category,Division,Zone,District,State,Awarded Date
230,"KARUNAGAPPALLY",KPY,NSG-4,"THIRUVANANTHAPURAM",SR,"Kollam","Kerala",2025-12-01
231,"CHENGANNUR",CNGR,NSG-3,"THIRUVANANTHAPURAM",SR,"Alappuzha","Kerala",2025-12-04
232,"VILLIVAKKAM",VLK,SG-3,"CHENNAI",SR,"Thiruvallur","Tamil Nadu",2026-01-01
233,"SANDHURST ROAD",SNRD,SG-2,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2025-11-28
234,"KURLA",CLA,SG-1,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2025-11-28
235,"KANJURMARG",KJRD,SG-2,"MUMBAI",CR,"Greater Mumbai","Maharashtra",2025-11-28
236,"ANAND",ANND,NSG-3,"VADODARA",WR,"Anand","Gujarat",2026-01-01
237,"PURATCHI THALAIVAR DR MG RAMACHANDRAN CENTRAL",MAS,NSG-1,"CHENNAI",SR,"Chennai","Tamil Nadu",2026-01-01
238,"VANIYAMBADI",VN,NSG-5,"CHENNAI",SR,"Vellore","Tamil Nadu",2026-01-01
239,"RAJAPALAYAM",RJPM,NSG-4,"Madurai",SR,"Virudhunagar","Tamil Nadu",2026-01-01
240,"PARAPANANGADI",PGI,NSG-5,"PALAKKAD",SR,"Malappuram","Kerala",2026-01-29
241,"MOORE MARKET COMPLEX-CHENNAI",MASS,SG-2,"CHENNAI",SR,"Chennai","Tamil Nadu",2026-01-01
