Extracted 294 records
222 | THANE | TNA | NSG-1 | CR | Navi Mumbai Municipal Corporation (Thane Zone-4) | Maharashtra
223 | MAVELIKARA | MVLK | NSG-5 | SR | Alappuzha | Kerala
224 | PARASSALA | PASA | NSG-5 | SR | Thiruvananthapuram | Kerala
225 | KOLLAM | QLN | NSG-2 | SR | Kollam | Kerala
226 | CHANGANACHERI | CGY | NSG-4 | SR | Kottayam | Kerala
227 | ALUVA | AWY | NSG-3 | SR | Ernakulam | Kerala
228 | THRISSUR | TCR | NSG-2 | SR | Thrissur | Kerala
229 | ERNAKULAM | ERS | NSG-2 | SR | Ernakulam | Kerala
230 | KARUNAGAPPALLY | KPY | NSG-4 | SR | Kollam | Kerala
231 | CHENGANNUR | CNGR | NSG-3 | SR | Alappuzha | Kerala
232 | VILLIVAKKAM | VLK | SG-3 | SR | Thiruvallur | Tamil Nadu
233 | SANDHURST ROAD | SNRD | SG-2 | CR | Greater Mumbai | Maharashtra
234 | KURLA | CLA | SG-1 | CR | Greater Mumbai | Maharashtra
235 | KANJURMARG | KJRD | SG-2 | CR | Greater Mumbai | Maharashtra
236 | ANAND | ANND | NSG-3 | WR | Anand | Gujarat
237 | PURATCHI THALAIVAR DR MG RAMACHANDRAN CENTRAL | MAS | NSG-1 | SR | Chennai | Tamil Nadu
238 | VANIYAMBADI | VN | NSG-5 | SR | Vellore | Tamil Nadu
239 | RAJAPALAYAM | RJPM | NSG-4 | SR | Virudhunagar | Tamil Nadu
240 | PARAPANANGADI | PGI | NSG-5 | SR | Malappuram | Kerala
241 | MOORE MARKET COMPLEX-CHENNAI | MASS | SG-2 | SR | Chennai | Tamil Nadu
242 | CHENNAI BEACH | MSB | NSG-2 | SR | Chennai | Tamil Nadu
243 | TIRUR | TIR | NSG-3 | SR | Malappuram | Kerala
244 | TIRUCHIRAPALLI FORT | TP | NSG-5 | SR | Tiruchirappalli | Tamil Nadu
245 | PALAKKAD | PGT | NSG-2 | SR | Palakkad | Kerala
246 | SHORANUR | SRR | NSG-3 | SR | Palakkad | Kerala
247 | KOTTAYAM | KTYM | NSG-3 | SR | Kottayam | Kerala
248 | VADAKARA | BDJ | NSG-3 | SR | Kozhikode | Kerala
249 | THANJAVUR | TJ | NSG-3 | SR | Thanjavur | Tamil Nadu
250 | NAGAPATTINAM | NGT | NSG-3 | SR | Nagapattinam | Tamil Nadu
251 | VELANKANNI | VLKN | NSG-5 | SR | Nagapattinam | Tamil Nadu
252 | NEYYATTINKARA | NYY | NSG-5 | SR | Thiruvananthapuram | Kerala
253 | KOZHIKODE | CLT | NSG-2 | SR | Kozhikode | Kerala
254 | POLLACHI | POY | NSG-5 | SR | Coimbatore | Tamil Nadu
255 | BALLY | BLY | SG-3 | ER | Howrah | West Bengal
256 | HOWRAH | HWH | NSG-1 | ER | Howrah | West Bengal
257 | CHALAKKUDI | CKI | NSG-5 | SR | Thrissur | Kerala
258 | RAMESWARAM | RMM | NSG-3 | SR | Ramanathapuram | Tamil Nadu
259 | KANNUR | CAN | NSG-2 | SR | Kannur | Kerala
260 | ANGAMALY | AFK | NSG-4 | SR | Ernakulam | Kerala
261 | SRIRANGAM | SRGM | NSG-5 | SR | Tiruchirappalli | Tamil Nadu
262 | BADARPUR | BPB | NSG-5 | NFR | Karimganj | Assam
263 | DIPHU | DPU | NSG-5 | NFR | Karbi Anglong | Assam
264 | ATTUR | ATU | NSG-5 | SR | Salem | Tamil Nadu
265 | SILCHAR | SCL | NSG-4 | NFR | Cachar | Assam
266 | SARUPATHPAR | SZR | NSG-5 | NFR | Golaghat | Assam
267 | NEW HAFLONG | NHLG | NSG-4 | NFR | Dima Hasao | Assam
268 | LUMBDING | LMG | NSG-4 | NFR | Hojai | Assam
269 | JAGIROAD | JID | NSG-5 | NFR | Marigaon | Assam
270 | KARIMGANJ | KXJ | NSG-3 | NFR | Karimganj | Assam
271 | LANKA | LKA | NSG-5 | NFR | Hojai | Assam
272 | HOJAI | HJI | NSG-5 | NFR | Hojai | Assam
273 | TALEGAON | TGN | SG-3 | CR | Pune Municipal Corporation | Maharashtra
274 | KARAD | KRD | NSG-5 | CR | Satara | Maharashtra
275 | SANGLI | SLI | NSG-4 | CR | Sangli | Maharashtra
276 | HADAPSAR | HDP | NSG-6 | CR | Pune Municipal Corporation | Maharashtra
277 | AKURDI | AKRD | SG-3 | CR | Pune Municipal Corporation | Maharashtra
278 | BARAMATI | BRMT | NSG-5 | CR | Pune Municipal Corporation | Maharashtra
279 | CHAPARMUKH | CPKK | NSG-5 | NFR | Nagaon | Assam
280 | KOVILPATTI | CVP | NSG-3 | SR | Thoothukkudi | Tamil Nadu
281 | ROURKELA | ROU | NSG-3 | SER | SUNDARGARH(EXCEPT MUNICIPAL CORPORATION) | Orissa
282 | UDHAGAMANDALAM | UAM | NSG-4 | SR | The Nilgiris | Tamil Nadu
283 | JHARSUGUDA | JSG | NSG-3 | SER | JHARSUGUDA | Orissa
284 | BARGARH | BRG | NSG-5 | ECOR | BARAGARH | Orissa
285 | SAMBALPUR | SBP | NSG-3 | ECOR | SAMBALPUR MUNICIPAL CORPORATION | Orissa
286 | TITILAGARH | TIG | NSG-4 | ECOR | BOLANGIR | Orissa
287 | THIRUCHENDUR | TCN | NSG-4 | SR | Thoothukkudi | Tamil Nadu
288 | KUMBAKONAM | KMU | NSG-3 | SR | Thanjavur | Tamil Nadu
289 | HASSAN | HAS | NSG-4 | CR | Hassan | Karnataka
290 | CUDDALORE PORT | CUPJ | NSG-5 | SR | Cuddalore | Tamil Nadu
291 | TENI | TENI | NSG-5 | SR | Theni | Tamil Nadu
292 | TIRUPPUR | TUP | NSG-3 | SR | Tirupur | Tamil Nadu
293 | KASARAGOD | KGQ | NSG-3 | SR | Kasaragod | Kerala
294 | KANHANGAD | KZE | NSG-4 | SR | Kasaragod | Kerala
295 | TIRUCHIRAPPALLI | TPJ | NSG-2 | SR | Tiruchirappalli | Tamil Nadu
296 | KARUR | KRR | NSG-4 | SR | Karur | Tamil Nadu
